,Name,Year,Duration,Rating,Metacritic Score,Genre,Summary
0,Killers of the Flower Moon,(2023),206 min,7.6,"
89        
        Metascore
        ","Crime, Drama, History","When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
1,John Wick: Chapter 4,(2023),169 min,7.7,"
78        
        Metascore
        ","Action, Crime, Thriller","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
2,BlackBerry,(2023),120 min,7.4,"
78        
        Metascore
        ","Biography, Comedy, Drama",The story of the meteoric rise and catastrophic demise of the world's first smartphone.
3,The Figo Affair: The Transfer that Changed Football,(2022),105 min,7.1,"
68        
        Metascore
        ","Documentary, Sport",This documentary spotlights one of the most contentious deals in football history and the extraordinary player at the center of the storm: Luís Figo.
4,Hustle,(2022),117 min,7.3,"
72        
        Metascore
        ","Comedy, Drama, Sport",A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.
5,The Batman,(2022),176 min,7.8,"
71        
        Metascore
        ","Action, Crime, Drama","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
6,Spider-Man: No Way Home,(2021),148 min,8.2,"
68        
        Metascore
        ","Action, Adventure, Fantasy","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man."
7,No Time to Die,(2021),163 min,7.3,"
76        
        Metascore
        ","Action, Adventure, Thriller","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
8,King Richard,(2021),144 min,7.5,"
79        
        Metascore
        ","Biography, Drama, Sport",A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard.
9,Another Round,(2020),117 min,7.7,"
82        
        Metascore
        ",Drama,Four high-school teachers consume alcohol on a daily basis to see how it affects their social and professional lives.
10,My Octopus Teacher,(2020),85 min,8.1,"
78        
        Metascore
        ","Documentary, Drama","A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world."
11,1917,(2019),119 min,8.2,"
59        
        Metascore
        ","Action, Drama, War","April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap."
12,Joker,(I) (2019),122 min,8.4,"
97        
        Metascore
        ","Crime, Drama, Thriller","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."
13,Parasite,(2019),132 min,8.5,"
75        
        Metascore
        ","Drama, Thriller",Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
14,La belle époque,(2019),115 min,7.4,"
69        
        Metascore
        ","Comedy, Drama, Fantasy","Victor, a disillusioned 60-something whose marriage is on the rocks, opts to relive the week of his life when, 40 years earlier, he met his true love through a company that allows customers to return to the time period of their choosing."
15,Green Book,(2018),130 min,8.2,"
83        
        Metascore
        ","Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
16,The Post,(2017),116 min,7.2,"
94        
        Metascore
        ","Biography, Drama, History",A cover-up spanning four U.S. Presidents pushes the country's first female newspaper publisher and her editor to join an unprecedented battle between press and government.
17,Dunkirk,(2017),106 min,7.8,"
69        
        Metascore
        ","Action, Drama, History","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
18,Lion,(2016),118 min,8,"
65        
        Metascore
        ","Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family."
19,Deadpool,(2016),108 min,8,"
76        
        Metascore
        ","Action, Comedy","A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
20,The Revenant,(I) (2015),156 min,8,"
81        
        Metascore
        ","Action, Adventure, Drama",A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
21,The Big Short,(2015),130 min,7.8,"
80        
        Metascore
        ","Biography, Comedy, Drama","In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
22,The Martian,(2015),144 min,8,"
86        
        Metascore
        ","Adventure, Drama, Sci-Fi","An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue."
23,Room,(I) (2015),118 min,8.1,"
93        
        Metascore
        ","Drama, Thriller","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside."
24,Spotlight,(I) (2015),129 min,8.1,"
57        
        Metascore
        ","Biography, Crime, Drama","The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
25,Southpaw,(2015),124 min,7.3,"
82        
        Metascore
        ","Action, Drama, Sport","After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career."
26,Sicario,(2015),121 min,7.7,"
73        
        Metascore
        ","Action, Crime, Drama",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
27,American Sniper,(2014),133 min,7.3,"
79        
        Metascore
        ","Action, Biography, Drama","Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind."
28,Selma,(2014),128 min,7.5,"
74        
        Metascore
        ","Biography, Drama, History","A chronicle of Dr. Martin Luther King, Jr.'s campaign to secure equal voting rights via an epic march from Selma to Montgomery, Alabama, in 1965."
29,Interstellar,(2014),169 min,8.7,"
71        
        Metascore
        ","Adventure, Drama, Sci-Fi","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
30,The Imitation Game,(2014),114 min,8,"
87        
        Metascore
        ","Biography, Drama, Thriller","During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life."
31,Birdman or (The Unexpected Virtue of Ignorance),(2014),119 min,7.7,"
79        
        Metascore
        ","Comedy, Drama","A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production."
32,Dawn of the Planet of the Apes,(2014),130 min,7.6,"
77        
        Metascore
        ","Action, Adventure, Drama",The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.
33,Wild Tales,(2014),122 min,8.1,"
69        
        Metascore
        ","Comedy, Drama, Thriller",Six short stories that explore the extremities of human behavior involving people in distress.
34,The Fault in Our Stars,(2014),126 min,7.7,"
70        
        Metascore
        ","Drama, Romance","Hazel and Gus are teenagers who meet at a cancer support group and fall in love. They both share the same acerbic wit and a love of books, especially ""An Imperial Affliction"", so they embark on a journey to visit an author in Amsterdam."
35,Captain America: The Winter Soldier,(2014),136 min,7.7,"
88        
        Metascore
        ","Action, Adventure, Sci-Fi","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
36,The Grand Budapest Hotel,(2014),99 min,8.1,"
100        
        Metascore
        ","Adventure, Comedy, Crime","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge."
37,Boyhood,(I) (2014),165 min,7.9,"
89        
        Metascore
        ",Drama,"The life of Mason, from early childhood to his arrival at college."
38,Whiplash,(2014),106 min,8.5,"
75        
        Metascore
        ","Drama, Music",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
39,The Wolf of Wall Street,(2013),180 min,8.2,"
60        
        Metascore
        ","Biography, Comedy, Crime","Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
40,Lone Survivor,(2013),121 min,7.5,"
82        
        Metascore
        ","Action, Biography, Drama","Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare."
41,Captain Phillips,(2013),134 min,7.8,"
77        
        Metascore
        ","Action, Biography, Crime","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
42,Dallas Buyers Club,(2013),117 min,7.9,"
70        
        Metascore
        ","Biography, Drama","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
43,Prisoners,(2013),153 min,8.2,"
96        
        Metascore
        ","Crime, Drama, Mystery","When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
44,12 Years a Slave,(2013),134 min,8.1,"
68        
        Metascore
        ","Biography, Drama, History","In the antebellum United States, Solomon Northup, a free Black man from upstate New York, is abducted and sold into slavery."
45,The Conjuring,(2013),112 min,7.5,"
62        
        Metascore
        ","Horror, Mystery, Thriller",Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
46,Iron Man Three,(2013),130 min,7.1,"
81        
        Metascore
        ","Action, Adventure, Sci-Fi","When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
47,Django Unchained,(2012),165 min,8.5,"
81        
        Metascore
        ","Drama, Western","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
48,Skyfall,(2012),143 min,7.8,"
67        
        Metascore
        ","Action, Adventure, Thriller","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
49,The Perks of Being a Wallflower,(2012),103 min,7.9,"
78        
        Metascore
        ",Drama,"Charlie, a 15-year-old introvert, enters high school and is nervous about his new life. When he befriends his seniors, he learns to cope with his friend's suicide and his tumultuous past."
50,The Dark Knight Rises,(2012),164 min,8.4,"
69        
        Metascore
        ","Action, Drama, Thriller","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
51,The Avengers,(2012),143 min,8,"
68        
        Metascore
        ","Action, Sci-Fi",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
52,The Hunger Games,(2012),142 min,7.2,"
71        
        Metascore
        ","Action, Adventure, Sci-Fi",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
53,The Girl with the Dragon Tattoo,(2011),158 min,7.8,"
57        
        Metascore
        ","Crime, Drama, Mystery",Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
54,The Intouchables,(2011),112 min,8.5,"
71        
        Metascore
        ","Comedy, Drama","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
55,Warrior,(2011),140 min,8.1,"
68        
        Metascore
        ","Action, Drama, Sport","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother."
56,"Crazy, Stupid, Love.",(2011),118 min,7.4,"
85        
        Metascore
        ","Comedy, Drama, Romance","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
57,Harry Potter and the Deathly Hallows: Part 2,(2011),130 min,8.1,"
66        
        Metascore
        ","Adventure, Family, Fantasy","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
58,Fast Five,(2011),130 min,7.3,"
60        
        Metascore
        ","Action, Crime, Thriller",Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.
59,RED,(2010),111 min,7,"
74        
        Metascore
        ","Action, Comedy, Crime","When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants."
60,The Town,(2010),125 min,7.5,"
79        
        Metascore
        ","Crime, Drama, Thriller",A proficient group of thieves rob a bank and hold an assistant manager hostage. Things begin to get complicated when one of the crew members falls in love with her.
61,Black Swan,(2010),108 min,8,"
74        
        Metascore
        ","Drama, Thriller","Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare."
62,Inception,(2010),148 min,8.8,"
92        
        Metascore
        ","Action, Adventure, Sci-Fi","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
63,Toy Story 3,(2010),103 min,8.3,"
66        
        Metascore
        ","Animation, Adventure, Comedy","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
64,Undisputed 3: Redemption,(2010 Video),96 min,7.3,"
63        
        Metascore
        ","Action, Crime, Drama",Boyka is back. This time he is fighting in the first ever inter-prison tournament with one knee.
65,Kick-Ass,(2010),117 min,7.6,"
57        
        Metascore
        ","Action, Comedy, Crime","Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so."
66,Shutter Island,(2010),138 min,8.2,"
58        
        Metascore
        ","Drama, Mystery, Thriller","Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place."
