,Name,Year,Rating,Critic Consensus,Summary
0,The First Slam Dunk,(2022),100,"A heart-pumping, breathtaking, wonderfully crafted manga adaptation, The First Slam Dunk shoots and scores."," Shohoku's ""speedster"" and point guard, Ryota Miyagi, always plays with brains and lightning speed, running circles around his opponents while... [More]"
1,"Are You There God? It's Me, Margaret.",(2023),99,"Effervescent and refreshingly frank about the travails of puberty, this long-awaited adaptation does full justice to Judy Blume's seminal novel."," For over fifty years, Judy Blume's classic and groundbreaking novel Are You There God? It's Me, Margaret. has impacted generations... [More]"
2,BlackBerry,(2023),98,"With intelligence as sharp as its humor, BlackBerry takes a terrifically entertaining look at the rise and fall of a generation-defining gadget."," 'BlackBerry' tells the story of Mike Lazaridis and Jim Balsillie, the two men that charted the course of the spectacular... [More]"
3,Godzilla Minus One,(2023),98,"With engaging human stories anchoring the action, Godzilla Minus One is one kaiju movie that remains truly compelling between the scenes of mass destruction.", Japan is already devastated by the war when a new crisis emerges in the form of a giant monster.... [More]
4,Rye Lane,(2023),98,"Good news, rom-com fans: Anyone looking for a smart, funny, and heartwarming new addition to the canon can find it waiting on Rye Lane."," Yas (Vivian Oparah) and Dom (David Jonsson), two twenty-somethings both reeling from bad break-ups, connect over the course of an... [More]"
5,Fallen Leaves,(2023),98,"A quirky tale of star-crossed lovers, Fallen Leaves is a life-affirming gem from Finnish filmmaker Kaurismäki."," In modern-day Helsinki, two lonely souls in search of love meet by chance in a local karaoke bar. However, the... [More]"
6,Joyland,(2022),98,"With stunning honesty that's achingly bittersweet, Joyland tackles gender and sexual fluidity in a repressed patriarchal society with wisps of hopefulness.", The Ranas--a happily patriarchal joint family--yearn for the birth of a baby boy to continue the family line. Their youngest... [More]
7,The Beasts,(2022),98,"Rodrigo Sorogoyen throws us into rural Galicia with The Beasts, where tension and unease spread like wildfire in a scorching tale of decayed human nature."," An expatriate French couple (Denis Ménochet and Marina Foïs) operate an organic farm in the Spanish countryside. However, their earnest... [More]"
8,Full Time,(2021),98,"Led by Laure Calamy's gripping performance, Full Time serves as a sobering reminder that just staying financially afloat can sometimes feel like a white-knuckle thriller.", Single mother Julie (César award-winning actress Laure Calamy) works a grueling job as a head chambermaid in a five-star Parisian... [More]
9,The Taste of Things,(2023),97,"As epicurean as French haute cuisine, The Taste of Things indulges our palates with an exquisite seven-course love story for the soul."," Cook Eugenie and her boss Dodin grow fond of one another over 20 years, and their romance gives rise to... [More]"
10,Shayda,(2023),96,"An understated yet impactful story of female empowerment, Shayda establishes first-time feature filmmaker Noora Niasari as a remarkably assured talent."," SHAYDA, a brave Iranian mother, finds refuge in an Australian women's shelter with her six-year-old daughter. Over Persian New Year,... [More]"
11,The Teachers' Lounge,(2023),96,"A smart and provocative modern parable with the heart of a thriller, The Teachers' Lounge brilliantly uses its setting as the backdrop for a look at how quickly even tight-knit communities can be destabilized."," Carla Nowak, a dedicated sports and math teacher, starts her first job at a high school. She stands out among... [More]"
12,Aloners,(2021),98,"A meditation on isolation, Aloners poignantly explores grief, or the avoidance of it, and the technological walls we build around us."," Jina (Gong Seung-yeon) is the top employee at a call center, but despite talking to customers all day, she has... [More]"
13,The Innocent,(2022),98,"Giving heavy material an appealingly light touch, The Innocent is fast-paced fun that's anchored in palpably honest emotion."," Lyon, present day. When widowed marine biologist Abel (Garrel) learns that his impulsive mum Sylvie (Anouk Grinberg) is once again... [More]"
14,The Three Musketeers: Part I - D'Artagnan,(2023),98,All for one and one for all! The Three Musketeers: D'Artagnan stands as a gallant reinterpretation of the source material.," In Part I of the two-part epic adaptation of the beloved classic by Alexandre Dumas, D'Artagnan arrives in Paris trying... [More]"
15,Klondike,(2022),98,"Klondike offers a bleak portrait of a war-torn Ukrainian village with the mordant wit of someone who understands that for civilians, the mundanities of life must go on."," July 2014. Expectant parents Irka and Tolik live in the Donetsk region of eastern Ukraine near the Russian border, disputed... [More]"
16,Return to Seoul,(2022),97,"Sensitively attuned to its protagonist's quest, Return to Seoul uses one woman's story to explore universal truths about the human condition."," On an impulse to reconnect with her origins, Freddie, 25, returns to South Korea for the first time, where she... [More]"
17,A Thousand and One,(2023),97,"A tribute to parental devotion and a testament to Teyana Taylor's talent, A Thousand and One presents a heart-wrenching portrait of perseverance in the face of systemic inequity."," A THOUSAND AND ONE follows unapologetic and free-spirited Inez (Teyana Taylor), who kidnaps six-year-old Terry from the foster care system.... [More]"
18,Monster,(2023),97,"Gently devastating in its compassion, Monster is a masterpiece of shifting perspectives that surprises to the end."," When her young son Minato starts to behave strangely, his mother feels that there is something wrong. Discovering that a... [More]"
19,Huesera: The Bone Woman,(2022),97,"A bone-chilling body horror, Huesera offers genre fans a twisted take on What to Expect When You're Expecting.", Valeria's joy at becoming a first-time mother is quickly taken away when she's cursed by a sinister entity. As danger... [More]
20,Fremont,(2023),97,"Brought to life by the empathetic efforts of a talented cast and further distinguished by striking black-and-white cinematography, Fremont takes a thoughtful -- and wryly funny -- look at the immigrant experience."," Donya works for a Chinese fortune cookie factory in San Francisco. Formerly a translator for the U.S. military in Afghanistan,... [More]"
21,Past Lives,(2023),95,"A remarkable debut for writer-director Celine Song, Past Lives uses the bonds between its sensitively sketched central characters to support trenchant observations on the human condition."," Nora and Hae Sung, two deeply connected childhood friends, are wrest apart after Nora's family emigrates from South Korea. Two... [More]"
22,The Holdovers,(2023),97,"Beautifully bittersweet, The Holdovers marks a satisfying return to form for director Alexander Payne."," From acclaimed director Alexander Payne, THE HOLDOVERS follows a curmudgeonly instructor (Paul Giamatti) at a New England prep school who... [More]"
23,Teenage Mutant Ninja Turtles: Mutant Mayhem,(2023),95,"With its unique visual style and a story that captures the essence of the franchise's appeal, Teenage Mutant Ninja Turtles: Mutant Mayhem is an animated treat for the whole family."," After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New... [More]"
24,Anatomy of a Fall,(2023),96,"A smart, solidly crafted procedural that's anchored in family drama, Anatomy of a Fall finds star Sandra Hüller and director/co-writer Justine Triet operating at peak power."," For the past year, Sandra, her husband Samuel, and their eleven-year-old son Daniel have lived a secluded life in a... [More]"
25,The Boy and the Heron,(2023),97,"Soulfully exploring thought-provoking themes through a beautifully animated lens, The Boy and the Heron is another Miyazaki masterpiece.", From the legendary Studio Ghibli and Academy Award®-winning director Hayao Miyazaki (Spirited Away) comes a new critically-acclaimed fantasy adventure. After... [More]
26,Suzume,(2022),96,"Suzume sees director Makoto Shinkai falling just a bit short of the bar set by previous outings -- but when the results are this visually thrilling and emotionally impactful, it's hard to find much fault."," 17-year-old Suzume's journey begins in a quiet town in Kyushu when she encounters a young man who tells her, ""I'm... [More]"
